x,y,pmi,count
god,den,2.1000394219661414,12
froth,master,2.096936513769714,10
master,froth,2.096936513769714,10
bites,when,2.096936513769714,5
when,bites,2.096936513769714,5
help,help,2.093910442553616,30
dream,dream,2.089600468851498,6
yes,yes,2.089600468851498,6
mowbray,norfolk,2.0762365072935163,6
norfolk,mowbray,2.0762365072935163,6
afore,god,2.0622508610767416,5
god,afore,2.0622508610767416,5
anne,lady,2.0565248452324107,52
lady,anne,2.0565248452324107,52
gremio,signior,2.0542422135873486,14
signior,gremio,2.0542422135873486,14
heed,take,2.042812751806567,10
take,heed,2.042812751806567,10
henry,vi,2.035562258166628,99
vi,henry,2.035562258166628,99
cut,off,2.0328637206647544,17
off,cut,2.0328637206647544,17
kill,kill,2.0324099914067997,20
gates,open,2.024768249112924,5
open,gates,2.024768249112924,5
alas,alas,2.020719179443685,8
haste,haste,2.020719179443685,8
duchess,york,2.013469204316263,71
york,duchess,2.013469204316263,71
music,sound,2.011778518066598,5
sound,music,2.011778518066598,5
ten,thousand,2.0106907417135633,10
thousand,ten,2.0106907417135633,10
kate,kate,2.009967068174896,12
woe,woe,2.003819489778796,10
grey,rivers,1.9895993788662996,7
rivers,grey,1.9895993788662996,7
heart,musicians,1.9874241228706726,5
musicians,heart,1.9874241228706726,5
fool,fool,1.9872954239567353,6
arm,arm,1.9866525008461244,8
edward,iv,1.984090284081524,110
iv,edward,1.984090284081524,110
aside,lay,1.9835796497112288,5
lay,aside,1.9835796497112288,5
archbishop,york,1.9817547911390565,6
york,archbishop,1.9817547911390565,6
citizen,third,1.977178289665194,22
third,citizen,1.977178289665194,22
crown,resign,1.9739899571771982,5
resign,crown,1.9739899571771982,5
about,neck,1.9729512231687363,6
neck,about,1.9729512231687363,6
mad,run,1.9719977771614137,5
run,mad,1.9719977771614137,5
had,lief,1.969026537645648,5
lief,had,1.969026537645648,5
abroad,news,1.9556625760876667,6
news,abroad,1.9556625760876667,6
since,twelve,1.9556625760876667,5
twelve,since,1.9556625760876667,5
thanks,thanks,1.9495247356359877,6
day,woful,1.948935328874762,9
woful,day,1.948935328874762,9
henry,percy,1.9453856278175403,13
percy,henry,1.9453856278175403,13
tears,wash,1.939227850917986,7
wash,tears,1.939227850917986,7
cry,mercy,1.932694527529827,7
mercy,cry,1.932694527529827,7
iii,richard,1.9267374755295719,138
richard,iii,1.9267374755295719,138
ii,richard,1.9267374755295719,98
richard,ii,1.9267374755295719,98
each,other,1.9252476130670608,18
other,each,1.9252476130670608,18
elizabeth,queen,1.9195484056362833,105
queen,elizabeth,1.9195484056362833,105
hers,mine,1.9100486776863101,5
mine,hers,1.9100486776863101,5
mew,up,1.9085433226889932,5
up,mew,1.9085433226889932,5
neither,nor,1.907140423057439,22
nor,neither,1.907140423057439,22
murderer,second,1.9040583139971228,30
second,murderer,1.9040583139971228,30
liege,sovereign,1.899619149467378,7
sovereign,liege,1.899619149467378,7
thousand,twenty,1.8964758704970364,9
twenty,thousand,1.8964758704970364,9
people,tribunes,1.8915450764759176,8
tribunes,people,1.8915450764759176,8
slain,tybalt,1.8832384700595493,8
tybalt,slain,1.8832384700595493,8
day,wedding,1.8719755428210954,7
wedding,day,1.8719755428210954,7
baptista,signior,1.8712201476797405,11
signior,baptista,1.8712201476797405,11
grey,lady,1.8673774887234862,29
lady,grey,1.8673774887234862,29
bolingbroke,henry,1.8563352852580888,92
henry,bolingbroke,1.8563352852580888,92
forbid,god,1.853974918649659,13
god,forbid,1.853974918649659,13
ladies,welcome,1.8481162482338251,5
re,welcome,1.8481162482338251,5
welcome,ladies,1.8481162482338251,5
welcome,re,1.8481162482338251,5
apollo,great,1.8456946986339766,5
great,apollo,1.8456946986339766,5
sorrows,these,1.8445815981137448,5
these,sorrows,1.8445815981137448,5
alack,dead,1.8411673882784974,8
dead,alack,1.8411673882784974,8
margaret,queen,1.8360826913147423,93
queen,margaret,1.8360826913147423,93
times,twenty,1.8343279637481917,5
twenty,times,1.8343279637481917,5
first,senator,1.8307238394793666,33
senator,first,1.8307238394793666,33
bona,lady,1.8277430832216,9
lady,bona,1.8277430832216,9
honour,pawn,1.8253731210952655,5
pawn,honour,1.8253731210952655,5
blood,shed,1.8247826458419614,9
shed,blood,1.8247826458419614,9
drop,eyes,1.8197374282970868,5
eyes,drop,1.8197374282970868,5
pity,pity,1.8062992401479483,8
fare,well,1.8029194994965678,19
well,fare,1.8029194994965678,19
ease,heart,1.8025589395074864,7
heart,ease,1.8025589395074864,7
day,hateful,1.798398174291469,5
hateful,day,1.798398174291469,5
must,needs,1.797605156723452,17
needs,must,1.797605156723452,17
days,happy,1.795764568608831,7
happy,days,1.795764568608831,7
keeper,second,1.782104430938285,9
second,keeper,1.782104430938285,9
twenty,years,1.7799703014255992,6
years,twenty,1.7799703014255992,6
am,courtier,1.776471755006304,5
courtier,am,1.776471755006304,5
second,servingman,1.7725208137699897,17
servingman,second,1.7725208137699897,17
fares,how,1.7696026341115367,14
how,fares,1.7696026341115367,14
light,light,1.7665095827140698,8
hold,hold,1.7642419732020083,16
rag,thou,1.760915131868347,5
thou,rag,1.760915131868347,5
duke,vincentio,1.7607496819766377,193
vincentio,duke,1.7607496819766377,193
friar,peter,1.7581731723307548,9
peter,friar,1.7581731723307548,9
yours,yours,1.7520164282231343,6
second,watchman,1.7461918750476406,6
watchman,second,1.7461918750476406,6
lie,lie,1.7425877507788154,10
down,kneel,1.7416609173195383,6
kneel,down,1.7416609173195383,6
battle,bid,1.7409062785859568,5
bid,battle,1.7409062785859568,5
didst,kill,1.7388680171353683,6
kill,didst,1.7388680171353683,6
longer,stay,1.7374179507401353,6
stay,longer,1.7374179507401353,6
peace,peace,1.7281846411544697,28
cousin,hereford,1.7275423170279753,5
hereford,cousin,1.7275423170279753,5
rash,too,1.7245807260349633,5
too,rash,1.7245807260349633,5
am,sorry,1.7209544271564727,11
sorry,am,1.7209544271564727,11
fourteen,she,1.720384611441355,7
she,fourteen,1.720384611441355,7
capulet,lady,1.7118390301492352,45
lady,capulet,1.7118390301492352,45
ah,ah,1.708937072510915,6
doom,prince,1.7066833337639669,5
prince,doom,1.7066833337639669,5
house,lancaster,1.7043294283704895,8
lancaster,house,1.7043294283704895,8
fain,would,1.7028945334025147,14
would,fain,1.7028945334025147,14
thousand,times,1.7026558444809234,6
times,thousand,1.7026558444809234,6
ear,thine,1.702560405631643,7
thine,ear,1.702560405631643,7
freely,speak,1.6931395773444222,5
speak,freely,1.6931395773444222,5
an,ass,1.6874250938199928,5
ass,an,1.6874250938199928,5
crown,wear,1.683425395191382,7
wear,crown,1.683425395191382,7
scroop,sir,1.6816029230167233,7
sir,scroop,1.6816029230167233,7
sir,stephen,1.6816029230167233,7
sir,william,1.6816029230167233,7
stephen,sir,1.6816029230167233,7
william,sir,1.6816029230167233,7
wrong,wrong,1.6813605035396484,6
these,woes,1.6807247954750753,9
woes,these,1.6807247954750753,9
bad,news,1.6794561641487176,6
news,bad,1.6794561641487176,6
bites,he,1.6778004454757114,7
he,bites,1.6778004454757114,7
first,watchman,1.6748359665119723,11
watchman,first,1.6748359665119723,11
sir,thumb,1.6726480803637966,6
thumb,sir,1.6726480803637966,6
parted,when,1.6709677814974324,5
wakes,when,1.6709677814974324,5
when,parted,1.6709677814974324,5
when,wakes,1.6709677814974324,5
citizen,second,1.6704711611095222,24
second,citizen,1.6704711611095222,24
far,off,1.6692320889939738,14
off,far,1.6692320889939738,14
look,pale,1.6643108524047037,12
pale,look,1.6643108524047037,12
aumerle,duke,1.6589038970487557,38
duke,aumerle,1.6589038970487557,38
person,royal,1.6559506223515985,5
royal,person,1.6559506223515985,5
get,gone,1.6538176158724656,11
gone,get,1.6538176158724656,11
off,wash,1.6517706624432789,5
wash,off,1.6517706624432789,5
cannot,choose,1.6486913867862802,6
choose,cannot,1.6486913867862802,6
down,set,1.648543893328621,24
set,down,1.648543893328621,24
second,senator,1.6468072429117289,10
senator,second,1.6468072429117289,10
child,child,1.645677737770759,8
hither,sent,1.644814256233639,5
sent,hither,1.644814256233639,5
bring,forth,1.642740819164371,13
forth,bring,1.642740819164371,13
first,musician,1.6311514845741624,9
musician,first,1.6311514845741624,9
thank,thank,1.6287026260949502,6
gracious,sovereign,1.6252413485748372,6
sovereign,gracious,1.6252413485748372,6
awhile,stay,1.6234745984332988,5
stay,awhile,1.6234745984332988,5
at,heels,1.6204783041893795,5
heels,at,1.6204783041893795,5
curse,margaret,1.614874426671381,5
margaret,curse,1.614874426671381,5
fairer,than,1.6124792141318354,6
hortensio,signior,1.6124792141318354,6
signior,hortensio,1.6124792141318354,6
than,fairer,1.6124792141318354,6
first,murderer,1.610853655845098,33
murderer,first,1.610853655845098,33
grief,woe,1.6074060010682312,5
woe,grief,1.6074060010682312,5
any,thing,1.6060131718826038,27
thing,any,1.6060131718826038,27
crown,title,1.6060131718826038,5
title,crown,1.6060131718826038,5
news,news,1.605270965594185,18
she,weeps,1.6022852993633607,6
weeps,she,1.6022852993633607,6
hour,within,1.6009238735403108,7
within,hour,1.6009238735403108,7
back,side,1.5974339749574198,5
side,back,1.5974339749574198,5
dowry,her,1.5970146705735055,9
her,dowry,1.5970146705735055,9
gaunt,old,1.5962295643363658,10
old,gaunt,1.5962295643363658,10
nor,nor,1.5929774121221751,66
joy,joy,1.591203754069272,6
harp,on,1.5906699371094957,5
on,harp,1.5906699371094957,5
at,least,1.5905150808119364,18
least,at,1.5905150808119364,18
citizen,first,1.5891310316672531,43
first,citizen,1.5891310316672531,43
thou,varlet,1.5848238728126658,10
varlet,thou,1.5848238728126658,10
goes,world,1.5820819132750736,6
world,goes,1.5820819132750736,6
blood,flesh,1.5790554586448857,6
flesh,blood,1.5790554586448857,6
lesser,than,1.5790554586448857,5
than,lesser,1.5790554586448857,5
god,save,1.5782901818267736,21
save,god,1.5782901818267736,21
was,wont,1.5779886267823136,8
wont,was,1.5779886267823136,8
down,sit,1.577049475947287,10
sit,down,1.577049475947287,10
friends,loving,1.575551046116116,6
loving,friends,1.575551046116116,6
back,turn,1.5754887235958248,8
turn,back,1.5754887235958248,8
late,too,1.5748184057016312,17
too,late,1.5748184057016312,17
o,woful,1.5729824744889975,12
woful,o,1.5729824744889975,12
england,royal,1.5721736246148246,5
royal,england,1.5721736246148246,5
common,people,1.5656914970869042,5
people,common,1.5656914970869042,5
duty,show,1.564037410581431,5
show,duty,1.564037410581431,5
sorrow,woe,1.561037258496865,5
woe,sorrow,1.561037258496865,5
lord,ross,1.5589642498739997,11
ross,lord,1.5589642498739997,11
about,ears,1.5565278088026855,5
ears,about,1.5565278088026855,5
brought,forth,1.5556696132578356,5
forth,brought,1.5556696132578356,5
clock,o,1.5556083784195749,14
o,clock,1.5556083784195749,14
hours,many,1.5551663829796358,7
many,hours,1.5551663829796358,7
fitzwater,lord,1.5545551309689447,7
lord,fitzwater,1.5545551309689447,7
iii,king,1.5494274683847464,138
king,iii,1.5494274683847464,138
iv,king,1.5494274683847464,110
king,iv,1.5494274683847464,110
king,vi,1.5494274683847464,99
vi,king,1.5494274683847464,99
ii,king,1.5494274683847464,98
king,ii,1.5494274683847464,98
king,xi,1.5494274683847464,21
xi,king,1.5494274683847464,21
blood,wash,1.548021224904917,6
wash,blood,1.548021224904917,6
tower,unto,1.5476469943932616,5
unto,tower,1.5476469943932616,5
away,whither,1.547086252569844,5
down,throw,1.547086252569844,5
entreat,stay,1.547086252569844,5
stay,entreat,1.547086252569844,5
throw,down,1.547086252569844,5
whither,away,1.547086252569844,5
at,pomfret,1.5447575902512614,6
pomfret,at,1.5447575902512614,6
men,wise,1.5433663627447145,6
wise,men,1.5433663627447145,6
bawd,being,1.5424413475240804,5
being,bawd,1.5424413475240804,5
or,whether,1.5423326516201459,17
whether,or,1.5423326516201459,17
couldst,thou,1.5390663822519906,9
thou,couldst,1.5390663822519906,9
own,thine,1.538280107608949,20
thine,own,1.538280107608949,20
beseech,pardon,1.5380170617114377,8
pardon,beseech,1.5380170617114377,8
fair,virtuous,1.5371147677585504,5
virtuous,fair,1.5371147677585504,5
pardon,pardon,1.5359828918009846,12
mystery,sir,1.5354748873384851,5
sir,mystery,1.5354748873384851,5
banishment,death,1.5346572633469355,8
death,banishment,1.5346572633469355,8
days,many,1.5339770839096978,8
many,days,1.5339770839096978,8
head,off,1.5337505939531155,18
off,head,1.5337505939531155,18
am,glad,1.5334337063200096,10
glad,am,1.5334337063200096,10
lord,willoughby,1.5253969022277314,8
willoughby,lord,1.5253969022277314,8
each,part,1.5246977963222932,5
part,each,1.5246977963222932,5
dead,dead,1.5243431254312843,20
alas,poor,1.5210320968252813,8
poor,alas,1.5210320968252813,8
grace,uncle,1.5201290197678998,9
uncle,grace,1.5201290197678998,9
lucentio,signior,1.5199340065262292,5
signior,lucentio,1.5199340065262292,5
friar,john,1.5158174403313969,7
john,friar,1.5158174403313969,7
a,duellist,1.5129712204038706,6
duellist,a,1.5129712204038706,6
lord,marshal,1.5124319250633638,12
marshal,lord,1.5124319250633638,12
plain,tell,1.5054813541252545,6
tell,plain,1.5054813541252545,6
calls,who,1.502731976418607,6
who,calls,1.502731976418607,6
along,go,1.5018293897094503,14
go,along,1.5018293897094503,14
beat,down,1.5013287620091689,6
down,beat,1.5013287620091689,6
had,rather,1.497509160443984,26
rather,had,1.497509160443984,26
right,wrong,1.4963144018310408,6
wrong,right,1.4963144018310408,6
dies,when,1.4948765224417513,5
when,dies,1.4948765224417513,5
spake,who,1.4941318046566892,5
who,spake,1.4941318046566892,5
born,gentleman,1.4913572771978754,6
gentleman,born,1.4913572771978754,6
dear,land,1.4902633358590087,6
land,dear,1.4902633358590087,6
by,joint,1.4891040345201676,6
joint,by,1.4891040345201676,6
camest,thou,1.4879138598046093,16
comest,thou,1.4879138598046093,16
thou,camest,1.4879138598046093,16
thou,comest,1.4879138598046093,16
livest,thou,1.4879138598046093,8
thou,livest,1.4879138598046093,8
first,servingman,1.486228150034295,19
servingman,first,1.486228150034295,19
than,worse,1.4849932885096557,17
worse,than,1.4849932885096557,17
off,pluck,1.4807002047626485,5
pluck,off,1.4807002047626485,5
mine,own,1.476393116747738,45
own,mine,1.476393116747738,45
on,revenged,1.4735565380131521,7
revenged,on,1.4735565380131521,7
banished,romeo,1.4680996265039226,6
romeo,banished,1.4680996265039226,6
days,two,1.4679050065222192,6
two,days,1.4679050065222192,6
well,wot,1.4671273975733745,6
wot,well,1.4671273975733745,6
aim,at,1.4655763442036365,5
at,aim,1.4655763442036365,5
cut,head,1.4650347815836557,5
head,cut,1.4650347815836557,5
liest,thou,1.4644327639550863,24
thou,liest,1.4644327639550863,24
cursed,had,1.4638765593257421,5
had,cursed,1.4638765593257421,5
bless,god,1.460190869748779,6
god,bless,1.460190869748779,6
gage,there,1.4601144161825392,5
there,gage,1.4601144161825392,5
rt,thou,1.4598851362043657,15
thou,rt,1.4598851362043657,15
lovest,thou,1.4598851362043657,10
thou,lovest,1.4598851362043657,10
lord,william,1.459579617738088,5
william,lord,1.459579617738088,5
shame,shame,1.455564266755275,6
father,slew,1.4554111923895847,7
slew,father,1.4554111923895847,7
mayst,thou,1.4547454965519546,21
thou,mayst,1.4547454965519546,21
husband,husband,1.4541167220365858,8
hands,lay,1.451360878176748,6
lay,hands,1.451360878176748,6
hand,kiss,1.4498028135010304,8
kiss,hand,1.4498028135010304,8
god,sake,1.4482916464490712,9
sake,god,1.4482916464490712,9
word,word,1.4472772975062804,14
hold,lay,1.4467651264875987,6
lay,hold,1.4467651264875987,6
as,lief,1.4424621027883475,6
lief,as,1.4424621027883475,6
knows,who,1.4420341360649953,12
who,knows,1.4420341360649953,12
master,master,1.4399310109772308,16
at,laugh,1.4392474054812874,8
laugh,at,1.4392474054812874,8
tread,upon,1.4374750507173684,5
upon,tread,1.4374750507173684,5
right,right,1.436207036730733,8
begg,d,1.4348826000788373,6
d,begg,1.4348826000788373,6
live,long,1.43447919203083,14
long,live,1.43447919203083,14
an,hour,1.43386193102643,22
hour,an,1.43386193102643,22
a,barne,1.4337899743562457,5
a,pie,1.4337899743562457,5
barne,a,1.4337899743562457,5
pie,a,1.4337899743562457,5
eyes,tears,1.4335676381764735,11
tears,eyes,1.4335676381764735,11
aunt,good,1.4329274229666478,5
good,aunt,1.4329274229666478,5
peace,war,1.4321561727289822,8
war,peace,1.4321561727289822,8
by,paul,1.431112087542481,6
paul,by,1.431112087542481,6
daughter,married,1.4284979952172436,5
married,daughter,1.4284979952172436,5
thou,wast,1.4274331124232278,29
wast,thou,1.4274331124232278,29
d,scatter,1.4226481436618257,7
scatter,d,1.4226481436618257,7
deed,done,1.4222058927990409,6
done,deed,1.4222058927990409,6
shouldst,thou,1.420967070173996,16
thou,shouldst,1.420967070173996,16
mightst,thou,1.420967070173996,8
thou,mightst,1.420967070173996,8
earth,heaven,1.4201383052806846,12
heaven,earth,1.4201383052806846,12
eyes,thine,1.4198367188595213,13
thine,eyes,1.4198367188595213,13
my,parks,1.419354615777374,5
parks,my,1.419354615777374,5
on,side,1.4187951624549777,23
side,on,1.4187951624549777,23
haste,make,1.4186591881157227,16
make,haste,1.4186591881157227,16
farewell,farewell,1.4186591881157227,8
er,read,1.4165795617226018,5
read,er,1.4165795617226018,5
bids,us,1.4139939548678455,6
us,bids,1.4139939548678455,6
life,save,1.413822127177413,12
save,life,1.413822127177413,12
came,hither,1.413822127177413,6
hither,came,1.413822127177413,6
d,damn,1.4136933010088992,8
damn,d,1.4136933010088992,8
second,servant,1.4125745121800675,11
servant,second,1.4125745121800675,11
eye,thine,1.412254275359435,7
thine,eye,1.412254275359435,7
heir,son,1.411423650569771,8
son,heir,1.411423650569771,8
edward,prince,1.4107328636292609,43
prince,edward,1.4107328636292609,43
back,back,1.4100164405504376,8
accident,by,1.4099227884725427,5
by,accident,1.4099227884725427,5
by,provoked,1.4099227884725427,5
provoked,by,1.4099227884725427,5
home,welcome,1.4099130595445324,7
welcome,home,1.4099130595445324,7
alack,day,1.4084270952907068,5
day,alack,1.4084270952907068,5
howsoever,you,1.406868904229314,5
you,howsoever,1.406868904229314,5
buy,come,1.4041146492206371,14
come,buy,1.4041146492206371,14
these,wars,1.4024379269496539,7
wars,these,1.4024379269496539,7
hadst,thou,1.401893189226679,35
thou,hadst,1.401893189226679,35
get,hence,1.400958216891606,6
hence,get,1.400958216891606,6
amen,god,1.3994930293951673,5
defend,god,1.3994930293951673,5
god,amen,1.3994930293951673,5
god,defend,1.3994930293951673,5
saw,since,1.398021724548117,6
since,saw,1.398021724548117,6
messenger,second,1.3949952699179293,7
second,messenger,1.3949952699179293,7
thou,wert,1.3910038467965529,32
wert,thou,1.3910038467965529,32
heads,their,1.3908042170610666,10
their,heads,1.3908042170610666,10
their,wives,1.3908042170610666,5
wives,their,1.3908042170610666,5
dost,thou,1.390413371543249,98
thou,dost,1.390413371543249,98
at,gate,1.3863950981560116,5
at,table,1.3863950981560116,5
gate,at,1.3863950981560116,5
table,at,1.3863950981560116,5
madam,madam,1.384592509518162,8
thou,wilt,1.3829462041269294,89
wilt,thou,1.3829462041269294,89
art,thou,1.382280278391696,230
thou,art,1.382280278391696,230
break,off,1.3817749005192665,5
off,break,1.3817749005192665,5
hast,thou,1.3795743850157711,160
thou,hast,1.3795743850157711,160
tale,tell,1.379364070031412,8
tell,tale,1.379364070031412,8
king,richard,1.3788970341102846,262
richard,king,1.3788970341102846,262
king,lewis,1.3787312412157715,27
lewis,king,1.3787312412157715,27
am,resolved,1.3785317463342663,5
resolved,am,1.3785317463342663,5
lord,mayor,1.3784638719132636,14
mayor,lord,1.3784638719132636,14
since,years,1.3784261684847363,6
years,since,1.3784261684847363,6
bear,hence,1.3777283761731312,13
hence,bear,1.3777283761731312,13
many,years,1.3758699840487432,7
years,many,1.3758699840487432,7
again,back,1.3747711773390794,13
back,again,1.3747711773390794,13
duke,norfolk,1.374027211037138,17
norfolk,duke,1.374027211037138,17
hast,thyself,1.373805970847991,6
thyself,hast,1.373805970847991,6
part,play,1.373430120991644,5
play,part,1.373430120991644,5
remedy,there,1.3699377858334514,5
there,remedy,1.3699377858334514,5
on,thinking,1.3688211874931393,5
thinking,on,1.3688211874931393,5
fetch,go,1.36866633119558,10
go,fetch,1.36866633119558,10
against,fight,1.3685115300954191,7
fight,against,1.3685115300954191,7
death,fine,1.3683258415804105,5
fine,death,1.3683258415804105,5
dear,dear,1.3680474575861823,8
by,troth,1.366994587930732,11
troth,by,1.366994587930732,11
prince,young,1.3667352720696162,12
young,prince,1.3667352720696162,12
first,soldier,1.3658370411767158,9
soldier,first,1.3658370411767158,9
suck,thy,1.3657345044079943,6
thy,suck,1.3657345044079943,6
comes,here,1.365575254218438,56
here,comes,1.365575254218438,56
joy,little,1.3632808567407226,6
little,joy,1.3632808567407226,6
thou,wouldst,1.3629751231963094,26
wouldst,thou,1.3629751231963094,26
thou,velvet,1.3629751231963094,7
velvet,thou,1.3629751231963094,7
diest,thou,1.3629751231963094,5
thou,diest,1.3629751231963094,5
rough,too,1.3628528900173704,5
sudden,too,1.3628528900173704,5
too,rough,1.3628528900173704,5
too,sudden,1.3628528900173704,5
lord,protector,1.3626696047300315,5
protector,lord,1.3626696047300315,5
fury,their,1.3608409936836234,5
their,fury,1.3608409936836234,5
party,upon,1.3582938046697435,5
upon,party,1.3582938046697435,5
welcome,welcome,1.3567545543995525,6
kindred,queen,1.3560020078901587,5
queen,kindred,1.3560020078901587,5
d,stabb,1.3557013540312124,10
stabb,d,1.3557013540312124,10
d,stopp,1.3557013540312124,9
stopp,d,1.3557013540312124,9
d,smother,1.3557013540312124,6
smother,d,1.3557013540312124,6
abhorr,d,1.3557013540312124,5
canker,d,1.3557013540312124,5
d,abhorr,1.3557013540312124,5
d,canker,1.3557013540312124,5
d,fix,1.3557013540312124,5
d,unlook,1.3557013540312124,5
fix,d,1.3557013540312124,5
unlook,d,1.3557013540312124,5
come,hither,1.3542364371931688,34
hither,come,1.3542364371931688,34
canst,thou,1.354020280543383,48
thou,canst,1.354020280543383,48
god,knows,1.3537355388344923,9
knows,god,1.3537355388344923,9
shape,thy,1.3523705428500126,8
thy,shape,1.3523705428500126,8
hearts,their,1.3498456093821602,13
their,hearts,1.3498456093821602,13
are,undone,1.347698272314789,8
undone,are,1.347698272314789,8
friar,holy,1.3470717176007465,6
holy,friar,1.3470717176007465,6
confess,must,1.3453074857288216,9
must,confess,1.3453074857288216,9
from,thence,1.342966269913919,13
thence,from,1.342966269913919,13
greater,than,1.3394779420680978,8
than,greater,1.3394779420680978,8
stronger,we,1.3392463800887897,5
we,stronger,1.3392463800887897,5
down,down,1.339025787439121,16
first,keeper,1.3383626182029673,7
keeper,first,1.3383626182029673,7
shalt,thou,1.3381515394712773,68
thou,shalt,1.3381515394712773,68
a,crutch,1.3368799613481892,6
crutch,a,1.3368799613481892,6
heigh,with,1.3363526430758954,6
with,heigh,1.3363526430758954,6
else,or,1.3353232648222209,43
or,else,1.3353232648222209,43
didst,thou,1.3336857470943217,43
thou,didst,1.3336857470943217,43
black,some,1.3336439865493324,7
some,black,1.3336439865493324,7
am,going,1.3327742557735913,6
going,am,1.3327742557735913,6
an,oath,1.3316827649424101,12
oath,an,1.3316827649424101,12
darest,thou,1.330790439824908,13
